"Date","Steps","Distance (mi)","Elevation (ft)","Calories"
"2015-09-04","20","0.01","0","0"
"2015-09-03","10255","6.26","0","563"
"2015-09-02","7802","4.05","0","286"
"2015-09-01","10738","6.34","0","548"
"2015-08-31","5527","2.92","0","199"
"2015-08-30","12491","6.86","0","542"
"2015-08-29","8316","4.34","0","293"
"2015-08-28","5499","2.86","0","193"
"2015-08-27","8957","4.74","0","328"
"2015-08-26","12378","7.04","0","568"
"2015-08-25","13760","7.79","0","643"
"2015-08-24","7572","3.99","0","284"
"2015-08-23","564","0.29","0","21"
"2015-08-22","5257","2.76","0","188"
"2015-08-21","5478","2.84","0","200"
"2015-08-15","420","0.22","0","9"
"2015-08-14","8144","4.17","0","297"
"2015-08-13","18329","10.21","0","829"
"2015-08-12","8743","4.40","0","316"
"2015-08-11","10608","5.53","0","405"
"2015-08-10","12083","6.41","0","462"
"2015-08-09","8064","4.38","0","315"
"2015-08-08","459","0.24","0","10"
"2015-08-07","17711","8.97","0","672"
"2015-08-06","17817","9.18","0","688"
"2015-08-05","0","0.00","0","0"
"2015-07-31","6302","3.33","0","233"
"2015-07-30","8379","4.39","0","311"
"2015-07-29","12982","6.83","0","492"
"2015-07-28","15201","8.85","0","738"
"2015-07-27","7681","4.11","0","298"
"2015-07-26","10285","6.10","0","514"
"2015-07-25","10910","5.69","0","390"
"2015-07-24","15793","9.26","0","792"
"2015-07-23","7023","3.60","0","256"
"2015-07-17","2237","1.16","0","80"
"2015-07-16","32","0.02","0","1"
"2015-07-15","8531","5.28","0","496"
"2015-07-14","6935","3.58","0","199"
"2015-07-13","25655","13.07","0","770"
"2015-07-12","0","0.00","0","0"
"2015-07-11","15459","8.92","0","588"
"2015-07-10","12383","7.36","0","504"
"2015-07-09","6175","3.23","0","176"
"2015-07-08","0","0.00","0","0"
"2015-07-07","10096","5.28","0","300"
"2015-07-06","7329","3.87","0","219"
"2015-07-05","6752","3.47","0","189"
"2015-07-04","5100","2.66","0","137"
"2015-07-03","17424","9.69","0","624"
"2015-07-02","11852","6.65","0","408"
"2015-07-01","8933","5.49","0","361"
"2015-06-30","10634","5.66","0","313"
"2015-06-29","12332","7.46","0","518"
"2015-06-28","6413","3.30","0","187"
"2015-06-27","10445","5.46","0","306"
"2015-06-26","9451","4.92","0","278"
"2015-06-25","15694","9.18","0","628"
"2015-06-24","4451","2.30","0","126"
"2015-06-23","0","0.00","0","0"
"2015-06-22","13555","7.49","0","454"
"2015-06-21","7546","3.82","0","224"
"2015-06-20","11323","5.93","0","326"
"2015-06-19","12158","6.66","0","407"
"2015-06-18","3950","2.06","0","115"
"2015-06-17","0","0.00","0","0"
"2015-06-16","9404","4.98","0","276"
"2015-06-15","13750","7.26","0","413"
"2015-06-14","5749","2.97","0","159"
"2015-06-13","10795","5.64","0","301"
"2015-06-12","13503","7.33","0","443"
"2015-06-11","12480","6.78","0","402"
"2015-06-10","13234","7.31","0","437"
"2015-06-09","6913","3.59","0","195"
"2015-06-08","8958","4.73","0","262"
"2015-06-07","7588","3.97","0","210"
"2015-06-06","10625","5.55","0","298"
"2015-06-05","10238","5.38","0","297"
"2015-06-04","11254","5.96","0","336"
"2015-06-03","9277","4.91","0","269"
"2015-06-02","6413","3.36","0","182"
"2015-06-01","5648","3.00","0","173"
"2015-05-31","9833","5.07","0","330"
"2015-05-30","4831","2.56","0","172"