Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2015-09-13 07:22:46,Cycling,,20.31,1:43:30,5:06,11.77,914.0,625.85,,,2015-09-13-0722.gpx
2015-09-07 09:02:31,Running,"Home 2mi",2.04,17:54,8:46,6.85,287.0,30.55,,,2015-09-07-0902.gpx
2015-09-06 07:48:38,Cycling,,15.67,1:02:54,4:01,14.95,682.0,320.62,,,2015-09-06-0748.gpx
2015-09-05 09:21:13,Running,"Home 2mi",2.04,18:42,9:10,6.54,288.0,36.69,,,2015-09-05-0921.gpx
2015-09-03 06:19:25,Running,"Home 2mi",2.05,19:27,9:30,6.31,287.0,31.09,,,2015-09-03-0619.gpx
2015-09-01 06:48:59,Running,,0.93,8:38,9:19,6.43,127.0,21.86,,,2015-09-01-0648.gpx
2015-08-30 08:46:55,Running,,1.18,10:35,8:57,6.71,167.0,16.77,,,2015-08-30-0846.gpx
2015-08-29 07:43:51,Cycling,,22.06,1:29:18,4:03,14.82,976.0,396.82,,,2015-08-29-0743.gpx
2015-08-26 07:14:59,Running,,1.18,10:56,9:18,6.45,162.0,8.64,,,2015-08-26-0714.gpx
2015-08-25 06:34:13,Running,,1.16,11:39,10:01,5.99,162.0,16.77,,,2015-08-25-0634.gpx
2015-08-21 09:00:08,Running,,1.29,11:59,9:19,6.44,186.0,80.45,,,2015-08-21-0900.gpx
2015-08-16 08:13:43,Cycling,,9.44,49:06,5:12,11.53,422.0,126.64,,,2015-08-16-0813.gpx
2015-08-13 08:02:38,Running,,2.42,28:47,11:53,5.05,328.0,53.10,,,2015-08-13-0802.gpx
2015-08-07 07:25:35,Cycling,,3.87,28:33,7:22,8.14,192.0,71.72,,,2015-08-07-0725.gpx
2015-08-04 06:45:33,Running,"Home 2mi",2.02,20:09,9:59,6.01,283.0,30.82,,,2015-08-04-0645.gpx
2015-08-01 09:00:22,Cycling,,7.33,30:11,4:07,14.58,312.0,117.70,,,2015-08-01-0900.gpx
2015-07-28 07:10:38,Running,"Home 2mi",2.06,19:52,9:38,6.23,284.0,29.73,,,2015-07-28-0710.gpx
2015-07-26 17:39:57,Running,,2.05,18:49,9:11,6.54,288.0,36.44,,,2015-07-26-1739.gpx
2015-07-25 08:24:09,Cycling,,6.34,33:47,5:20,11.25,292.0,106.01,,,2015-07-25-0824.gpx
2015-07-24 07:03:39,Running,,2.04,20:00,9:49,6.11,285.0,29.82,,,2015-07-24-0703.gpx
2015-07-22 07:22:53,Running,,1.35,14:08,10:29,5.72,185.0,25.22,,,2015-07-22-0722.gpx
2015-07-18 08:17:28,Cycling,,13.65,1:13:20,5:22,11.17,609.0,352.24,,"Morning ride on Wachusett Greenway",2015-07-18-0817.gpx
2015-07-15 07:41:58,Running,,2.04,19:43,9:41,6.20,282.0,29.64,,,2015-07-15-0741.gpx
2015-07-11 09:03:22,Running,,2.04,18:57,9:16,6.47,286.0,30.36,,,2015-07-11-0903.gpx
2015-07-10 07:50:31,Running,,2.00,19:54,9:57,6.03,285.0,47.45,,,2015-07-10-0750.gpx
2015-07-05 08:16:16,Cycling,,14.07,1:08:19,4:51,12.36,599.0,256.14,,,2015-07-05-0816.gpx
2015-07-03 15:06:27,Running,,1.59,15:33,9:48,6.13,219.0,17.02,,,2015-07-03-1506.gpx
2015-07-02 07:19:19,Running,,1.16,13:13,11:25,5.25,155.0,12.46,,,2015-07-02-0719.gpx
2015-07-01 12:46:02,Running,,2.05,20:40,10:06,5.94,281.0,34.69,,,2015-07-01-1246.gpx
2015-06-29 07:07:51,Running,,2.04,20:46,10:10,5.90,286.0,30.36,,,2015-06-29-0707.gpx
2015-06-25 07:09:24,Running,,1.98,20:14,10:13,5.87,280.0,34.98,,,2015-06-25-0709.gpx
2015-06-24 06:51:04,Running,,2.06,20:12,9:49,6.11,287.0,30.36,,,2015-06-24-0651.gpx
2015-06-22 09:04:56,Cycling,,3.60,19:45,5:30,10.92,165.0,67.50,,,2015-06-22-0904.gpx
2015-06-22 06:07:24,Running,,1.30,19:42,15:07,3.97,153.0,20.54,,,2015-06-22-0607.gpx
2015-06-20 07:33:16,Cycling,,14.93,1:13:03,4:54,12.26,639.0,269.16,,,2015-06-20-0733.gpx
2015-06-19 06:11:43,Running,,1.26,18:01,14:15,4.21,169.0,10.80,,,2015-06-19-0611.gpx
2015-06-16 06:07:34,Running,,0.76,14:24,19:00,3.16,74.0,6.64,,,2015-06-16-0607.gpx
2015-06-14 09:51:42,Cycling,,11.79,57:11,4:51,12.37,520.0,189.38,,,2015-06-14-0951.gpx
2015-06-12 06:13:43,Running,,0.37,7:53,21:27,2.80,36.0,4.96,,,2015-06-12-0613.gpx
2015-06-11 06:17:03,Running,,1.49,22:06,14:48,4.06,166.0,15.64,,,2015-06-11-0617.gpx
2015-06-10 06:15:08,Running,,1.44,20:17,14:07,4.25,172.0,13.36,,,2015-06-10-0615.gpx
2015-05-26 06:00:59,Running,,1.42,21:06,14:54,4.03,163.0,14.00,,,2015-05-26-0600.gpx
2015-05-25 08:48:02,Running,,2.04,19:45,9:41,6.19,286.0,40.35,,,2015-05-25-0848.gpx
2015-05-17 12:59:41,Cycling,,4.38,27:51,6:21,9.44,212.0,94.51,,,2015-05-17-1259.gpx
2015-01-19 12:46:06,Downhill Skiing,,0.40,2:05,5:13,11.50,5.65443218761796,0.00,,,2015-01-19-1246.gpx
2015-01-17 19:29:01,Downhill Skiing,,0.22,2:38,11:58,5.02,6.91153259288512,4.33,,,2015-01-17-1929.gpx
2014-09-28 08:10:44,Cycling,,15.08,1:02:18,4:08,14.52,649.0,242.28,,,2014-09-28-0810.gpx
2014-09-21 08:22:05,Cycling,,15.11,1:19:16,5:15,11.44,684.0,269.22,,,2014-09-21-0822.gpx
2014-09-07 07:09:53,Cycling,,56.78,4:43:45,5:00,12.01,2420.0,1740.02,,,2014-09-07-0709.gpx
2014-09-07 06:26:38,Cycling,,1.76,17:51,10:09,5.91,114.0,29.14,,,2014-09-07-0626.gpx
2014-09-06 15:12:32,Cycling,,8.66,57:10,6:36,9.09,458.0,149.35,,,2014-09-06-1512.gpx
2014-08-28 14:55:56,Cycling,,6.11,57:47,9:27,6.35,338.0,49.99,,,2014-08-28-1455.gpx
2014-08-16 07:38:53,Cycling,,28.52,2:01:58,4:17,14.03,1245.0,579.26,,,2014-08-16-0738.gpx
2014-08-15 21:34:14,Cycling,,2.97,17:19,5:50,10.30,142.0,77.53,,,2014-08-15-2134.gpx
2014-08-15 18:41:18,Cycling,,1.42,8:52,6:16,9.57,69.0,20.57,,,2014-08-15-1841.gpx
2014-08-15 16:23:00,Cycling,,3.18,44:29,13:59,4.29,286.0,91.11,,,2014-08-15-1623.gpx
2014-08-15 08:17:13,Cycling,,3.67,21:10,5:46,10.41,173.0,65.30,,"Great morning for Citibikin",2014-08-15-0817.gpx
2014-08-14 17:48:34,Cycling,,1.67,10:09,6:06,9.84,82.0,27.58,,,2014-08-14-1748.gpx
2014-08-11 14:51:19,Walking,,0.77,7:54,10:18,5.83,89.0,6.09,,,2014-08-11-1451.gpx
2014-08-08 16:12:46,Cycling,,1.84,12:08,6:37,9.08,85.0,25.21,,,2014-08-08-1612.gpx
2014-08-08 15:17:52,Cycling,,5.01,33:25,6:40,8.99,233.0,59.15,,,2014-08-08-1517.gpx
2014-08-08 13:11:03,Cycling,,4.73,24:12,5:07,11.72,212.0,63.31,,,2014-08-08-1311.gpx
2014-08-08 10:44:59,Cycling,,4.68,24:12,5:10,11.61,204.0,48.45,,,2014-08-08-1044.gpx
2014-08-07 11:00:18,Cycling,,0.42,5:06,12:17,4.89,26.0,2.14,,,2014-08-07-1100.gpx
2014-08-07 07:23:27,Running,,1.44,23:48,16:34,3.62,160.0,14.55,,,2014-08-07-0723.gpx
2014-08-06 06:26:03,Running,,1.55,18:14,11:45,5.10,195.0,11.75,,,2014-08-06-0626.gpx
2014-07-30 06:18:39,Running,,1.74,21:36,12:24,4.84,215.0,13.91,,,2014-07-30-0618.gpx
2014-07-29 11:33:39,Cycling,,6.52,57:06,8:46,6.85,328.0,83.33,,,2014-07-29-1133.gpx
2014-07-29 07:55:28,Running,,0.83,13:53,16:45,3.58,89.0,3.86,,,2014-07-29-0755.gpx
2014-07-28 09:37:28,Cycling,,10.23,1:44:06,10:11,5.90,599.0,83.84,,,2014-07-28-0937.gpx
2014-07-28 06:54:02,Running,,1.68,38:47,23:03,2.60,181.0,14.33,,,2014-07-28-0654.gpx
2014-07-20 17:57:17,Running,,1.49,20:41,13:51,4.33,187.0,28.50,,,2014-07-20-1757.gpx
2014-07-18 07:50:22,Cycling,,5.66,52:57,9:21,6.42,361.0,154.18,,,2014-07-18-0750.gpx
2014-07-16 19:13:27,Running,,2.04,17:59,8:49,6.81,276.0,29.91,,,2014-07-16-1913.gpx
2014-07-16 06:51:51,Running,,0.72,9:16,12:57,4.63,87.0,7.64,,,2014-07-16-0651.gpx
2014-07-14 06:25:50,Running,,1.72,19:33,11:22,5.28,215.0,13.91,,,2014-07-14-0625.gpx
2014-07-12 07:27:00,Cycling,,22.98,2:00:00,5:13,11.49,988.0,318.00,,,2014-07-12-0727.gpx
2014-07-10 06:20:47,Running,,1.70,19:33,11:31,5.21,213.0,14.18,,,2014-07-10-0620.gpx
2014-07-09 06:58:27,Running,,0.69,11:25,16:39,3.61,81.0,6.91,,,2014-07-09-0658.gpx
2014-07-05 07:34:08,Cycling,,11.41,1:15:04,6:35,9.12,570.0,202.89,,,2014-07-05-0734.gpx
2014-06-30 06:19:48,Running,,1.37,15:37,11:23,5.27,176.0,13.64,,,2014-06-30-0619.gpx
2014-06-28 07:41:15,Cycling,,21.77,2:34:18,7:05,8.46,1230.0,430.94,,,2014-06-28-0741.gpx
2014-06-23 06:19:14,Running,,0.69,9:24,13:41,4.38,82.0,7.36,,,2014-06-23-0619.gpx
2014-06-19 06:05:09,Running,,2.05,19:07,9:20,6.43,281.0,30.91,,,2014-06-19-0605.gpx
2014-06-17 06:05:17,Running,,2.06,19:50,9:38,6.23,282.0,31.18,,,2014-06-17-0605.gpx
2014-06-14 08:23:39,Cycling,,9.57,49:41,5:12,11.55,418.0,156.64,,,2014-06-14-0823.gpx
2014-06-13 15:36:26,Running,,0.94,8:06,8:35,6.99,124.0,5.22,,,2014-06-13-1536.gpx
2014-06-08 18:19:02,Running,,2.07,26:31,12:49,4.68,254.0,31.88,,,2014-06-08-1819.gpx
2014-05-26 09:06:22,Cycling,,15.45,1:26:21,5:35,10.73,686.0,266.12,,,2014-05-26-0906.gpx
2014-05-25 10:36:46,Hiking,,3.78,3:04:18,48:45,1.23,705.0,245.55,,,2014-05-25-1036.gpx
2014-05-24 19:09:26,Walking,,0.87,22:41,26:07,2.30,84.0,,,,
2014-05-17 13:52:04,Cycling,,9.67,1:51:32,11:32,5.20,662.0,146.05,,,2014-05-17-1352.gpx
2014-04-18 08:59:57,Walking,,2.21,2:05:54,57:05,1.05,356.0,36.45,,,2014-04-18-0859.gpx
2014-04-18 02:07:57,Other,,10.10,4:48,0:29,126.25,104.0,8.35,,,2014-04-18-0207.gpx
2014-04-15 03:17:16,Other,,4.11,70:26:28,1027:46,0.06,41.0,13.54,,,2014-04-15-0317.gpx
2014-04-13 15:45:35,Walking,,0.34,14:30,42:49,1.40,39.0,,,,
2014-04-13 14:27:57,Walking,,2.33,1:10:42,30:22,1.98,232.0,,,,
2014-04-13 09:37:28,Walking,,1.75,23:26,13:22,4.49,119.0,14.94,,,2014-04-13-0937.gpx
2014-04-12 20:28:47,Walking,,1.17,45:04,38:27,1.56,128.0,,,,
2014-04-12 19:44:15,Walking,,0.81,30:40,37:58,1.58,88.0,,,,
2014-04-12 12:24:35,Walking,,1.20,51:20,42:37,1.41,139.0,,,,
2014-04-11 17:34:06,Walking,,0.74,23:23,31:27,1.91,75.0,,,,
2014-04-09 17:37:23,Walking,,0.81,25:25,31:26,1.91,82.0,,,,
2014-04-09 15:22:16,Walking,,2.44,1:19:55,32:45,1.83,250.0,,,,
2014-04-09 13:47:03,Walking,,0.61,16:29,26:55,2.23,60.0,,,,
2014-04-09 08:28:10,Walking,,0.91,31:51,35:07,1.71,96.0,,,,
2014-04-08 16:45:48,Walking,,1.32,41:06,31:09,1.93,133.0,,,,
2014-04-08 15:54:47,Walking,,0.77,23:16,30:18,1.98,77.0,,,,
2014-04-08 12:34:41,Walking,,0.67,19:42,29:24,2.04,66.0,,,,
2014-03-31 13:03:07,Walking,,0.00,0:00,,,0.0,0.00,,,2014-03-31-1303.gpx
2014-03-14 15:48:58,Downhill Skiing,"Home 2mi",1.83,7:55,4:21,13.81,32.0,0.00,,,2014-03-14-1548.gpx
2014-03-13 07:51:05,Walking,,0.46,14:31,31:39,1.90,46.0,,,,
2014-03-08 14:38:25,Running,"Home 2mi",1.94,19:14,9:56,6.04,265.0,28.07,,,2014-03-08-1438.gpx
2014-03-07 08:45:08,Walking,,0.53,22:17,41:50,1.43,61.0,,,,
2014-03-07 08:21:30,Walking,,0.45,14:25,32:13,1.86,46.0,,,,
2014-03-01 19:57:46,Walking,,0.42,14:46,35:13,1.70,45.0,,,,
2014-03-01 09:37:13,Walking,,1.04,18:06,17:23,3.45,100.0,6.82,,,2014-03-01-0937.gpx
2014-02-28 20:44:28,Walking,,1.07,23:02,21:36,2.78,95.0,,,,
2014-02-28 17:16:48,Walking,,1.08,40:21,37:14,1.61,116.0,,,,
2014-02-28 14:47:10,Walking,,0.93,35:22,37:52,1.58,100.0,,,,
2014-02-28 12:43:07,Walking,,0.76,30:53,40:53,1.47,84.0,,,,
2014-02-28 09:17:09,Running,"Home 2mi",2.25,22:32,10:01,5.99,290.0,4.75,,"On sand at Tampa beach",2014-02-28-0917.gpx
2014-02-28 09:06:26,Running,"Home 2mi",0.16,2:37,16:26,3.65,18.0,2.50,,,2014-02-28-0906.gpx
2014-02-28 09:05:26,Running,,2.08,0:00,0:00,âˆž,0.0,,,,
2014-02-28 08:44:12,Walking,,0.65,18:54,29:07,2.06,63.0,,,,
2014-02-27 18:01:58,Walking,,0.61,17:11,28:04,2.14,59.0,,,,
2014-02-27 10:27:23,Walking,,0.61,23:43,38:53,1.54,66.0,,,,
2014-02-26 21:15:47,Walking,,0.34,15:23,44:41,1.34,40.0,,,,
2014-02-25 14:39:22,Walking,,0.42,14:04,33:12,1.81,43.0,,,,
2014-02-24 10:20:08,Walking,,0.35,13:55,39:43,1.51,38.0,,,,
2014-02-24 09:58:26,Walking,,0.63,12:58,20:44,2.89,55.0,,,,
2014-02-22 15:40:20,Running,"Home 2mi",1.36,14:16,10:28,5.73,188.0,26.18,,,2014-02-22-1540.gpx
2014-02-16 15:33:05,Walking,,0.49,20:26,41:27,1.45,55.0,,,,
2014-01-02 09:05:00,Spinning,,0.00,45:00,,,70.0,,,,
2014-01-01 15:58:10,Running,"Home 2mi",2.07,21:07,10:12,5.89,281.0,31.58,,"31 degrees",2014-01-01-1558.gpx
2013-11-24 11:00:27,Running,,3.19,39:07,12:16,4.89,400.0,39.02,,,2013-11-24-1100.gpx
2013-11-02 16:19:33,Hiking,,0.97,34:14,35:16,1.70,153.0,32.40,,,2013-11-02-1619.gpx
2013-10-27 16:21:39,Cycling,,7.80,54:20,6:58,8.61,383.0,125.52,,,2013-10-27-1621.gpx
2013-10-12 08:45:38,Cycling,,12.59,2:16:29,10:50,5.54,818.0,245.18,,,2013-10-12-0845.gpx
2013-09-21 15:11:33,Running,,3.12,33:45,10:49,5.54,409.0,45.58,,,2013-09-21-1511.gpx
2013-09-15 14:14:00,Cycling,,11.00,3:14:19,17:40,3.40,1102.0,191.31,,,2013-09-15-1414.gpx
2013-09-08 07:09:51,Cycling,,41.03,3:14:52,4:45,12.63,1685.0,1247.34,,,2013-09-08-0709.gpx
2013-09-07 09:44:10,Cycling,,9.28,1:22:59,8:57,6.71,498.0,158.52,,,2013-09-07-0944.gpx
2013-09-04 18:05:59,Running,,2.01,17:37,8:47,6.83,261.0,29.18,,,2013-09-04-1805.gpx
2013-09-01 07:33:53,Cycling,,18.62,1:25:19,4:35,13.09,784.0,473.00,,,2013-09-01-0733.gpx
2013-08-24 07:28:33,Cycling,,18.44,1:43:50,5:38,10.66,899.0,435.99,,,2013-08-24-0728.gpx
2013-08-23 08:48:00,Cycling,,3.14,14:56,4:45,12.63,148.0,70.36,,,2013-08-23-0848.gpx
2013-08-21 07:00:11,Running,,1.35,12:37,9:22,6.41,179.0,25.55,,,2013-08-21-0700.gpx
2013-08-15 17:26:12,Cycling,,4.00,31:18,7:50,7.67,214.0,97.02,,,2013-08-15-1726.gpx
2013-08-15 07:36:35,Cycling,,5.06,27:25,5:25,11.06,207.0,74.61,,,2013-08-15-0736.gpx
2013-08-11 16:41:14,Cycling,,1.21,11:43,9:41,6.20,74.0,14.01,,,2013-08-11-1641.gpx
2013-08-11 16:17:53,Cycling,,0.86,4:33,5:19,11.30,34.0,2.52,,,2013-08-11-1617.gpx
2013-08-10 08:26:08,Cycling,,11.91,1:27:03,7:18,8.21,625.0,169.09,,,2013-08-10-0826.gpx
2013-08-09 11:09:48,Cycling,,1.87,13:13,7:03,8.50,91.0,10.19,,,2013-08-09-1109.gpx
2013-08-01 08:45:25,Cycling,,6.17,53:26,8:40,6.92,335.0,142.08,,"Seattle vahey uw trek",2013-08-01-0845.gpx
2013-08-01 08:36:14,Cycling,,0.17,2:40,15:39,3.83,14.0,0.67,,,2013-08-01-0836.gpx
2013-07-30 08:15:23,Cycling,,7.27,1:04:14,8:50,6.79,375.0,110.21,,,2013-07-30-0815.gpx
2013-07-28 07:28:25,Cycling,,20.21,1:37:58,4:51,12.38,797.0,463.93,,,2013-07-28-0728.gpx
2013-07-27 19:43:36,Cycling,,1.23,10:25,8:27,7.11,61.0,27.58,,,2013-07-27-1943.gpx
2013-07-27 18:21:49,Running,"Home 2mi",1.63,16:25,10:05,5.95,213.0,30.00,,,2013-07-27-1821.gpx
2013-07-26 17:45:13,Cycling,,4.77,1:24:09,17:37,3.40,464.0,71.73,,,2013-07-26-1745.gpx
2013-07-26 06:49:39,Running,"Home 2mi",2.05,17:56,8:46,6.85,268.0,30.00,,,2013-07-26-0649.gpx
2013-07-20 07:03:13,Cycling,,19.07,1:41:05,5:18,11.32,795.0,436.98,,,2013-07-20-0703.gpx
2013-07-17 06:19:10,Running,"Home 2mi",2.02,18:20,9:05,6.60,267.0,30.18,,,2013-07-17-0619.gpx
2013-07-12 08:48:14,Cycling,,2.83,19:40,6:58,8.61,147.0,73.14,,,2013-07-12-0848.gpx
2013-07-07 08:28:15,Cycling,,8.86,1:19:30,8:58,6.69,492.0,125.78,,,2013-07-07-0828.gpx
2013-07-06 07:22:21,Cycling,,14.99,1:23:37,5:35,10.75,651.0,272.39,,,2013-07-06-0722.gpx
2013-06-20 18:25:54,Running,"Home 2mi",1.99,17:43,8:54,6.74,262.0,29.45,,,2013-06-20-1825.gpx
2013-06-16 07:24:06,Cycling,,12.55,1:08:35,5:28,10.98,537.0,217.74,,,2013-06-16-0724.gpx
2013-06-12 06:36:25,Running,"Home 2mi",2.01,17:27,8:40,6.92,266.0,30.91,,,2013-06-12-0636.gpx
2013-06-09 07:32:52,Cycling,,14.22,1:53:15,7:58,7.53,787.0,262.18,,,2013-06-09-0732.gpx
2013-06-05 18:38:40,Running,,2.03,18:07,8:56,6.72,271.0,29.64,,,2013-06-05-1838.gpx
2013-06-04 06:39:04,Running,,2.02,18:11,9:00,6.67,268.0,30.45,,,2013-06-04-0639.gpx
2013-06-01 08:21:48,Cycling,,4.76,47:57,10:05,5.95,283.0,76.55,,,2013-06-01-0821.gpx
2013-05-31 06:33:17,Running,,2.05,20:33,10:02,5.98,269.0,31.36,,,2013-05-31-0633.gpx
2013-05-28 06:49:01,Running,,1.25,12:13,9:49,6.12,160.0,11.18,,,2013-05-28-0649.gpx
2013-05-27 07:43:46,Cycling,,7.98,2:12:56,16:40,3.60,518.0,147.09,,,2013-05-27-0743.gpx
2013-03-11 07:01:07,Cycling,,0.00,20:00,,,0.0,,,,
2013-03-01 13:23:41,Downhill Skiing,,1.06,10:26,9:54,6.06,30.0,95.55,,,2013-03-01-1323.gpx
